comentario
La comida estaba deliciosa, el mejor ajiaco de la ciudad
El domicilio llegó muy lento, casi dos horas esperando
Las papas llegaron frías y aguadas, muy decepcionante
Excelente atención del personal, muy amables todos
Los precios son muy justos para las porciones que dan
Pedí por la app y nunca llegó mi pedido, pésimo servicio
El sabor de la hamburguesa es increíble, volveré pronto
La entrega fue lenta y la comida llegó fría
Muy rico todo y el mesero fue super amable
Demasiado tiempo de espera para una mesa, casi 40 minutos
Porciones generosas y precio justo, recomendado
El lugar estaba sucio y las mesas pegajosas
Me encantó el menú del día, variado y económico
La música estaba muy fuerte, no se podía conversar
El personal fue grosero cuando pedí cambiar mi orden
Las arepas son espectaculares, las mejores que he probado
Pedido incompleto otra vez, faltó la gaseosa
Buena relación calidad precio, volvería sin duda
La app de domicilios falla mucho, no pude pagar con tarjeta
Todo perfecto, comida rica y servicio rápido
